checked_at,party_id,channel_id,status,followers,precision,locale,channel_name,http_status,kind,source,source_url
2026-03-16T12:00:00Z,es-vox,0029VaDCD1UJJhzPmDOnRy2E,ok,29000,rounded,,VOX,200,channel,archive,https://web.archive.org/web/20260316/https://www.whatsapp.com/channel/0029VaDCD1UJJhzPmDOnRy2E
2026-03-02T10:00:04Z,es-pv-eaj-pnv,0029Va8Vp1T2UPBGAcxMBz32,ok,5600,rounded,,EAJ-PNV,200,channel,archive,https://web.archive.org/web/20260302100004/https://www.whatsapp.com/channel/0029Va8Vp1T2UPBGAcxMBz32
2026-03-02T16:04:53Z,de-grune,0029VadW99X2kNFogn540h07,ok,28000,rounded,,BÜNDNIS 90/DIE GRÜNEN,200,channel,archive,https://web.archive.org/web/20260302160453/https://www.whatsapp.com/channel/0029VadW99X2kNFogn540h07
2026-03-05T05:42:59Z,es-ct-erc,0029VaEe6Y6FCCoOpegXkQ3h,ok,4300,rounded,,Esquerra Republicana,200,channel,archive,https://web.archive.org/web/20260305054259/https://www.whatsapp.com/channel/0029VaEe6Y6FCCoOpegXkQ3h
2026-03-08T10:57:26Z,de-grune,0029VadW99X2kNFogn540h07,ok,28000,rounded,,BÜNDNIS 90/DIE GRÜNEN,200,channel,archive,https://web.archive.org/web/20260308105726/https://www.whatsapp.com/channel/0029VadW99X2kNFogn540h07
2026-03-12T16:17:40Z,de-cdu,0029VaHl2dj6mYPGKPOnK636,ok,20000,rounded,,CDU Deutschlands,200,channel,archive,https://web.archive.org/web/20260312161740/https://www.whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636
2026-03-23T10:39:20Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2500,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20260323103920/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2026-03-31T20:20:33Z,es-psoe,0029VaCqsmk1XquVbS6T1u08,ok,4900,rounded,,PSOE 🌹,200,channel,archive,https://web.archive.org/web/20260331202033/https://www.whatsapp.com/channel/0029VaCqsmk1XquVbS6T1u08
