checked_at,party_id,channel_id,status,followers,precision,locale,channel_name,http_status,kind,source,source_url
2025-06-03T21:09:22Z,at-spo,0029VaCBWZyAe5Vqthvl7Q1M,ok,2800,rounded,,SPÖ,200,channel,archive,https://web.archive.org/web/20250603210922/https://www.whatsapp.com/channel/0029VaCBWZyAe5Vqthvl7Q1M
2025-06-07T11:29:49Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2000,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20250607112949/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2025-06-12T18:23:48Z,es-pv-eh-bildu,0029VaETvrgKLaHr4JYmrl3V,ok,2200,rounded,,EH Bildu,200,channel,archive,https://web.archive.org/web/20250612182348/https://www.whatsapp.com/channel/0029VaETvrgKLaHr4JYmrl3V
2025-06-13T04:56:38Z,it-pd,0029VaD4YKtEKyZEEzxkW83U,ok,34000,rounded,,Partito Democratico,200,channel,archive,https://web.archive.org/web/20250613045638/https://www.whatsapp.com/channel/0029VaD4YKtEKyZEEzxkW83U
2025-06-13T20:00:19Z,de-st-die-linke,0029VaMm2t3CMY0JNGNsou1u,ok,258,exact,,Fraktion Die Linke im Landtag von Sachsen-Anhalt,200,channel,archive,https://web.archive.org/web/20250613200019/https://www.whatsapp.com/channel/0029VaMm2t3CMY0JNGNsou1u
2025-06-15T12:05:16Z,at-6-fpo-kunasek,0029VacXqzMDDmFaXM5Pza1k,ok,635,exact,,Mario Kunasek,200,channel,archive,https://web.archive.org/web/20250615120516/https://www.whatsapp.com/channel/0029VacXqzMDDmFaXM5Pza1k
2025-06-15T21:51:46Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,61000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20250615215146/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2025-06-16T03:28:46Z,de-cdu,0029VaHl2dj6mYPGKPOnK636,ok,21000,rounded,,CDU Deutschlands,200,channel,archive,https://web.archive.org/web/20250616032846/https://www.whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636
2025-06-16T22:43:22Z,at-spo,0029VaCBWZyAe5Vqthvl7Q1M,ok,2800,rounded,,SPÖ,200,channel,archive,https://web.archive.org/web/20250616224322/https://www.whatsapp.com/channel/0029VaCBWZyAe5Vqthvl7Q1M
2025-06-17T12:10:44Z,de-be-berlin-grune-marzahn-hellersdorf,0029VaxyPKoFi8xV3B1jXA2B,ok,47,exact,,GRÜNE Marzahn-Hellersdorf,200,channel,archive,https://web.archive.org/web/20250617121044/https://www.whatsapp.com/channel/0029VaxyPKoFi8xV3B1jXA2B
2025-06-17T23:49:22Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,61000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20250617234922/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2025-06-18T11:16:49Z,de-bb-grune,0029VauE700AInPjDfFFPT0j,ok,64,exact,,GRÜNE Oder-Spree,200,channel,archive,https://web.archive.org/web/20250618111649/https://www.whatsapp.com/channel/0029VauE700AInPjDfFFPT0j
2025-06-19T04:11:44Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2000,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20250619041144/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2025-06-20T00:51:21Z,es-vc-mes-compromis,0029Va8cu6I17En2HY58S90J,ok,2200,rounded,,Compromís,200,channel,archive,https://web.archive.org/web/20250620005121/https://www.whatsapp.com/channel/0029Va8cu6I17En2HY58S90J
2025-06-25T12:52:55Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,61000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20250625125255/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2025-06-27T08:41:48Z,pt-ch,0029VaD2DqD3QxS133VKTQ2z,ok,11000,rounded,,André Ventura,200,channel,archive,https://web.archive.org/web/20250627084148/https://www.whatsapp.com/channel/0029VaD2DqD3QxS133VKTQ2z
