checked_at,party_id,channel_id,status,followers,precision,locale,channel_name,http_status,kind,source,source_url
2025-10-03T10:44:21Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,59000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20251003104421/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2025-10-03T11:30:39Z,pt-be,0029VaHrLkJEAKW5iusblX1K,ok,2600,rounded,,Bloco de Esquerda,200,channel,archive,https://web.archive.org/web/20251003113039/https://www.whatsapp.com/channel/0029VaHrLkJEAKW5iusblX1K
2025-10-05T15:30:21Z,de-bb-grune,0029VauE700AInPjDfFFPT0j,ok,67,exact,,GRÜNE Oder-Spree,200,channel,archive,https://web.archive.org/web/20251005153021/https://www.whatsapp.com/channel/0029VauE700AInPjDfFFPT0j
2025-10-05T19:37:27Z,es-vox,0029VaDCD1UJJhzPmDOnRy2E,ok,22000,rounded,,VOX España,200,channel,archive,https://web.archive.org/web/20251005193727/https://www.whatsapp.com/channel/0029VaDCD1UJJhzPmDOnRy2E
2025-10-06T08:02:14Z,it-75-modugno-m5s-modugno,0029VaDZVAU6hENq64FNIq2f,ok,18,exact,,Modugno A 5 Stelle,200,channel,archive,https://web.archive.org/web/20251006080214/https://www.whatsapp.com/channel/0029VaDZVAU6hENq64FNIq2f
2025-10-06T10:26:38Z,de-cdu,0029VaHl2dj6mYPGKPOnK636,ok,20000,rounded,,CDU Deutschlands,200,channel,archive,https://web.archive.org/web/20251006102638/https://www.whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636
2025-10-08T07:20:54Z,de-ni-cdu,0029VaaE9wmCHDyfdJwcmR08,ok,172,exact,,CDU-Stadtverband Friesoythe,200,channel,archive,https://web.archive.org/web/20251008072054/https://www.whatsapp.com/channel/0029VaaE9wmCHDyfdJwcmR08
2025-10-09T19:35:50Z,nl-christenunie,0029VaPnmvj0gcfQd0YkS200,ok,746,exact,,ChristenUnie,200,channel,archive,https://web.archive.org/web/20251009193550/https://www.whatsapp.com/channel/0029VaPnmvj0gcfQd0YkS200
2025-10-10T00:02:24Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,59000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20251010000224/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2025-10-10T11:33:34Z,de-st-grune,0029VakBvxx0Vyc7cCq2sM1A,ok,1500,rounded,,DIE GRÜNEN Sachsen-Anhalt,200,channel,archive,https://web.archive.org/web/20251010113334/https://www.whatsapp.com/channel/0029VakBvxx0Vyc7cCq2sM1A
2025-10-11T20:07:58Z,de-ni-cdu-landesverband,0029VaNnGe929755vyAwN81C,ok,2900,rounded,,CDU-Politik für Niedersachsen,200,channel,archive,https://web.archive.org/web/20251011200758/https://www.whatsapp.com/channel/0029VaNnGe929755vyAwN81C
