checked_at,party_id,channel_id,status,followers,precision,locale,channel_name,http_status,kind,source,source_url
2025-08-05T12:00:00Z,es-vox,0029VaDCD1UJJhzPmDOnRy2E,ok,19000,rounded,,VOX,200,channel,archive,https://web.archive.org/web/20250805/https://www.whatsapp.com/channel/0029VaDCD1UJJhzPmDOnRy2E
2025-08-02T10:48:10Z,de-grune,0029VadW99X2kNFogn540h07,ok,29000,rounded,,BÜNDNIS 90/DIE GRÜNEN,200,channel,archive,https://web.archive.org/web/20250802104810/https://www.whatsapp.com/channel/0029VadW99X2kNFogn540h07
2025-08-04T12:57:31Z,de-fdp,0029VaFlergKmCPOtXP4aM1k,ok,6700,rounded,,FDP,200,channel,archive,https://web.archive.org/web/20250804125731/https://www.whatsapp.com/channel/0029VaFlergKmCPOtXP4aM1k
2025-08-04T21:44:46Z,de-cdu,0029VaHl2dj6mYPGKPOnK636,ok,20000,rounded,,CDU Deutschlands,200,channel,archive,https://web.archive.org/web/20250804214446/https://www.whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636
2025-08-04T23:25:15Z,it-e,0029VaazaCd0wajweqtOWT0d,ok,238,exact,,+Europa,200,channel,archive,https://web.archive.org/web/20250804232515/https://www.whatsapp.com/channel/0029VaazaCd0wajweqtOWT0d
2025-08-05T12:47:38Z,es-psoe,0029VaCqsmk1XquVbS6T1u08,ok,4500,rounded,,PSOE 🌹,200,channel,archive,https://web.archive.org/web/20250805124738/https://www.whatsapp.com/channel/0029VaCqsmk1XquVbS6T1u08
2025-08-06T17:06:03Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2100,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20250806170603/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
2025-08-06T20:40:33Z,es-ga-o-grove-eu-o-grove,0029VaSQitS3WHTO8SKnkV1b,ok,3,exact,,Actualidade EU O Grove,200,channel,archive,https://web.archive.org/web/20250806204033/https://www.whatsapp.com/channel/0029VaSQitS3WHTO8SKnkV1b
2025-08-07T15:40:17Z,nl-vvd,0029VaCyQQpC1FuAiUvfWJ3S,ok,3200,rounded,,VVD,200,channel,archive,https://web.archive.org/web/20250807154017/https://www.whatsapp.com/channel/0029VaCyQQpC1FuAiUvfWJ3S
2025-08-08T14:16:38Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,60000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20250808141638/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2025-08-08T17:40:55Z,nl-sgp,0029VaDLxdM7z4kfdsHvfS2K,ok,1700,rounded,,SGP,200,channel,archive,https://web.archive.org/web/20250808174055/https://www.whatsapp.com/channel/0029VaDLxdM7z4kfdsHvfS2K
2025-08-10T02:32:01Z,de-bb-grune,0029VauE700AInPjDfFFPT0j,ok,63,exact,,GRÜNE Oder-Spree,200,channel,archive,https://web.archive.org/web/20250810023201/https://www.whatsapp.com/channel/0029VauE700AInPjDfFFPT0j
2025-08-10T06:15:26Z,de-grune,0029VadW99X2kNFogn540h07,ok,29000,rounded,,BÜNDNIS 90/DIE GRÜNEN,200,channel,archive,https://web.archive.org/web/20250810061526/https://www.whatsapp.com/channel/0029VadW99X2kNFogn540h07
2025-08-10T18:49:51Z,es-pv-eaj-pnv,0029Va8Vp1T2UPBGAcxMBz32,ok,5700,rounded,,EAJ-PNV,200,channel,archive,https://web.archive.org/web/20250810184951/https://www.whatsapp.com/channel/0029Va8Vp1T2UPBGAcxMBz32
2025-08-11T12:09:23Z,nl-sgp,0029VaDLxdM7z4kfdsHvfS2K,ok,1700,rounded,,SGP,200,channel,archive,https://web.archive.org/web/20250811120923/https://www.whatsapp.com/channel/0029VaDLxdM7z4kfdsHvfS2K
2025-08-12T13:03:32Z,it-m5s,0029VaDq9ngDuMRdwp5IrC0E,ok,81000,rounded,,Giuseppe Conte,200,channel,archive,https://web.archive.org/web/20250812130332/https://www.whatsapp.com/channel/0029VaDq9ngDuMRdwp5IrC0E
2025-08-12T18:04:51Z,at-spo,0029VaCBWZyAe5Vqthvl7Q1M,ok,3900,rounded,,SPÖ,200,channel,archive,https://web.archive.org/web/20250812180451/https://www.whatsapp.com/channel/0029VaCBWZyAe5Vqthvl7Q1M
2025-08-13T00:25:39Z,es-vc-mes-compromis,0029Va8cu6I17En2HY58S90J,ok,2200,rounded,,Compromís,200,channel,archive,https://web.archive.org/web/20250813002539/https://www.whatsapp.com/channel/0029Va8cu6I17En2HY58S90J
2025-08-13T23:46:15Z,it-fi,0029VazVsXCDZ4Le9S1VyK10,ok,10000,rounded,,Forza Italia,200,channel,archive,https://web.archive.org/web/20250813234615/https://www.whatsapp.com/channel/0029VazVsXCDZ4Le9S1VyK10
2025-08-24T23:30:01Z,es-pv-eh-bildu,0029VaETvrgKLaHr4JYmrl3V,ok,2300,rounded,,EH Bildu,200,channel,archive,https://web.archive.org/web/20250824233001/https://www.whatsapp.com/channel/0029VaETvrgKLaHr4JYmrl3V
2025-08-25T12:41:55Z,pt-cdu,0029Va7ceYdAjPXEILlfID1X,ok,2200,rounded,,PCP - Partido Comunista Português,200,channel,archive,https://web.archive.org/web/20250825124155/https://www.whatsapp.com/channel/0029Va7ceYdAjPXEILlfID1X
