checked_at,party_id,channel_id,status,followers,precision,locale,channel_name,http_status,kind,source,source_url
2024-06-03T18:16:33Z,de-cdu,0029VaHl2dj6mYPGKPOnK636,ok,11038,exact,,CDU Deutschlands | WhatsApp-Kanal,200,channel,archive,https://web.archive.org/web/20240603181633/https://www.whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636
2024-06-08T17:59:24Z,it-e,0029VaazaCd0wajweqtOWT0d,ok,277,exact,,'+Europa | WhatsApp-kanaal,200,channel,archive,https://web.archive.org/web/20240608175924/https://www.whatsapp.com/channel/0029VaazaCd0wajweqtOWT0d
2024-06-11T08:47:30Z,de-st-die-linke,0029VaMm2t3CMY0JNGNsou1u,ok,153,exact,,Fraktion Die Linke im Landtag von Sachsen-Anhalt | Canal do WhatsApp,200,channel,archive,https://web.archive.org/web/20240611084730/https://www.whatsapp.com/channel/0029VaMm2t3CMY0JNGNsou1u
2024-06-12T06:28:05Z,es-pv-eaj-pnv,0029Va8Vp1T2UPBGAcxMBz32,ok,4200,rounded,,EAJ-PNV,200,channel,archive,https://web.archive.org/web/20240612062805/https://www.whatsapp.com/channel/0029Va8Vp1T2UPBGAcxMBz32
2024-06-12T18:17:59Z,es-cl-valladolid-pce-valladolid,0029VaY1iS53GJOpnPEBGD2E,ok,8,exact,,PCE Valladolid,200,channel,archive,https://web.archive.org/web/20240612181759/https://www.whatsapp.com/channel/0029VaY1iS53GJOpnPEBGD2E
2024-06-17T08:11:38Z,nl-sgp,0029VaDLxdM7z4kfdsHvfS2K,ok,884,exact,,SGP,200,channel,archive,https://web.archive.org/web/20240617081138/https://www.whatsapp.com/channel/0029VaDLxdM7z4kfdsHvfS2K
2024-06-18T11:47:22Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,1000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20240618114722/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2024-06-20T09:23:28Z,at-6-fpo-kunasek,0029VacXqzMDDmFaXM5Pza1k,ok,325,exact,,Mario Kunasek,200,channel,archive,https://web.archive.org/web/20240620092328/https://www.whatsapp.com/channel/0029VacXqzMDDmFaXM5Pza1k
2024-06-22T06:02:46Z,at-6-fpo-kunasek,0029VacXqzMDDmFaXM5Pza1k,ok,333,exact,,Mario Kunasek,200,channel,archive,https://web.archive.org/web/20240622060246/https://www.whatsapp.com/channel/0029VacXqzMDDmFaXM5Pza1k
2024-06-23T00:59:06Z,es-ga-bng,0029Va84lfy0wajvPNPdOz0T,ok,1700,rounded,,BNG - Bloque Nacionalista Galego,200,channel,archive,https://web.archive.org/web/20240623005906/https://www.whatsapp.com/channel/0029Va84lfy0wajvPNPdOz0T
2024-06-23T04:04:43Z,de-ni-cdu-landesverband,0029VaNnGe929755vyAwN81C,ok,582,exact,,CDU-Politik für Niedersachsen,200,channel,archive,https://web.archive.org/web/20240623040443/https://www.whatsapp.com/channel/0029VaNnGe929755vyAwN81C
2024-06-23T16:56:39Z,es-pv-eaj-pnv,0029Va8Vp1T2UPBGAcxMBz32,ok,4300,rounded,,EAJ-PNV,200,channel,archive,https://web.archive.org/web/20240623165639/https://www.whatsapp.com/channel/0029Va8Vp1T2UPBGAcxMBz32
2024-06-24T22:49:55Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,1100,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20240624224955/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
