checked_at,party_id,channel_id,status,followers,precision,locale,channel_name,http_status,kind,source,source_url
2026-04-05T08:45:31Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,57000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20260405084531/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2026-04-12T13:26:20Z,de-linke,0029VaaFcBp8aKvCtcymPg1S,ok,57000,rounded,,Die Linke,200,channel,archive,https://web.archive.org/web/20260412132620/https://www.whatsapp.com/channel/0029VaaFcBp8aKvCtcymPg1S
2026-04-16T07:33:36Z,es-pv-eh-bildu,0029VaETvrgKLaHr4JYmrl3V,ok,3200,rounded,,EH Bildu,200,channel,archive,https://web.archive.org/web/20260416073336/https://www.whatsapp.com/channel/0029VaETvrgKLaHr4JYmrl3V
2026-04-18T23:19:26Z,es-pp,0029VaCtnXdJuyABqpryQc3T,ok,6300,rounded,,Partido Popular,200,channel,archive,https://web.archive.org/web/20260418231926/https://www.whatsapp.com/channel/0029VaCtnXdJuyABqpryQc3T
2026-04-19T17:29:26Z,de-cdu,0029VaHl2dj6mYPGKPOnK636,ok,20000,rounded,,CDU Deutschlands,200,channel,archive,https://web.archive.org/web/20260419172926/https://www.whatsapp.com/channel/0029VaHl2dj6mYPGKPOnK636
2026-04-22T08:00:06Z,es-pv-eaj-pnv,0029Va8Vp1T2UPBGAcxMBz32,ok,5600,rounded,,EAJ-PNV,200,channel,archive,https://web.archive.org/web/20260422080006/https://www.whatsapp.com/channel/0029Va8Vp1T2UPBGAcxMBz32
